instance,status,variables,clauses,conflicts,decisions,propagations,memory_mb,cpu_time_s
8d7efdd2314bc82962a301351e581ea0-hidden-k3-s2-r4-n700-03-S1945356584.shuffled-as.sat03-1047,TIMEOUT,700,2800,3015545,3953394,267890827,16.71,59.9703
6f4c5eff2095bd848f1dd2926b76ca92-x9-04019.sat.sanitized,SATISFIABLE,200,1798,329,561,17851,10.91,0.004263
181c035388cfa7707a2fa315f5a54353-hidden-k3-s2-r4-n500-01-S1373238829.shuffled-as.sat03-1035,SATISFIABLE,500,2000,101229,133155,7351974,11.04,1.32442
bb659c9e0ab66799f0027749fa6db937-okgen-c1000-v250-s1288112625-1288112625,SATISFIABLE,250,1000,159,271,7593,10.91,0.002392
773008bdac98754a97b1f5f703449f14-combined-crypto1-wff-seed-32-wffvars-450-cryptocplx-40-overlap-2,TIMEOUT,1729,21678,1379764,1709210,86649734,35.6,59.9672
83008eace6e2f1e42516e69b5d49a4fb-ooo.rf8.ucl.sat.chaff.4.1.bryant,UNSATISFIABLE,11669,32961,985,1843,247212,14.9,0.054039
57e9a0c95eefba8f8a663df567eb9a88-fdmus_b21_140,UNSATISFIABLE,4941,13632,33728,73950,2229044,12.79,0.371376
db5b9e589631029e41fa2649d81399e3-okgen-c2800-v700-s349706041-349706041,TIMEOUT,700,2800,2844710,3731149,251410415,17.67,59.9749
d77a397fc329584c25132a80004219ac-OKgenerator_s0=32s1=40n=4000l=3cp=16800-Dnr0=0nr1=4-o.shuffled-as.sat05-1673,TIMEOUT,4000,16800,917824,1770586,256372142,90.18,59.9118
30fb03d6138b38afe59bd02d86779502-fdmus_b14_196,UNSATISFIABLE,2604,7071,6856,15068,454811,11.83,0.078451
98a903437e75c909ea64eafcbadb4033-unif-r4.25-v600-c2550-07-S2114064265.used-as.sat04-77,TIMEOUT,600,2550,3114387,4009627,244309549,15.2,59.9781
e04fa09a30496866e0c857c9919e3489-unif2p-p0.7-v6500-c17355-S211365596-08-UNSAT,TIMEOUT,6500,17354,807217,1112975,347697045,27.11,59.9349
9e900194332f7139172b57a328ffaa9a-fdmus_b21_495,UNSATISFIABLE,3798,10413,11070,32238,749267,12.28,0.130475
b0156c51c5ce55693033b0f28d33686b-x9-08032.sat.sanitized,SATISFIABLE,400,3601,216992,277535,19783909,11.05,5.17582
148246a7ab6150ba607059f3f8adc307-x9-11072.sat.sanitized,SATISFIABLE,550,4947,3114,6515,342692,11.18,0.059093
84814c278c6ebf0c1f9718c2bff8f1d0-bench_8779.smt2,UNSATISFIABLE,6106,20809,2897,8029,179021,13.61,0.047284
bbd09012f3a26e62326bf641e0904c02-c1908,UNSATISFIABLE,1917,5095,5442,10307,272649,11.45,0.053766
d7f381cd99ca40ba3324c8cc03a54269-mchess16-mixed-25percent-blocked,TIMEOUT,16278,965,9519158,16068026,208088810,13.41,59.9554
59b8cf531821ed3e2d5bd14e1e17a467-x9-12096.sat.sanitized,TIMEOUT,600,5403,1518108,2065762,180290088,18.05,59.9662
1c3abce44050ac9e289c84b42f29e62b-manthey_DimacsSorterHalf_29_2,SATISFIABLE,5467,18397,105005,167813,53033367,38.8,10.622
a14004e92effe93ea79dbf1b269bf3bb-iso-brn004.shuffled-as.sat05-2698,SATISFIABLE,1877,6408,1791,6903,54711,11.75,0.03223
b45b7a168bf6e357b33dd10578b71c27-manthey_DimacsSorterHalf_30_0,SATISFIABLE,3612,11612,465453,607023,153268286,17.42,27.2658
645560b13232e3b931ad8759c0fea6f7-iso-icl009.shuffled-as.sat05-2734,UNSATISFIABLE,2450,6850,11630,24457,398511,11.91,0.132869
a8e9a2fb564409acbde58fd4c476bc44-unif-k4-r9.83-v1800-c17694-S2454958176786042401,TIMEOUT,1800,17694,994468,1908033,138617834,80.62,59.862
aeafeeb97f11a6fcb9bfe7b4513c1f5a-bench_3580.smt2,UNSATISFIABLE,5335,18328,2297,6707,134483,13.14,0.038909
bf98b225d34a293bb9d10f588e2653a9-ferry6_v01a.renamed-as.sat05-3998,SATISFIABLE,470,6403,119,307,7748,11.33,0.006102
8d88440a6ee7d0081294896a1e25fdbd-linvrinv8.sat05-567.reshuffled-07,TIMEOUT,1920,6337,1315191,1910784,308608532,20.67,59.981
b1fab5c570d9365db1209daf8b22af9f-uniqinv20prop,TIMEOUT,3066,8789,1526419,1975249,307046118,20.84,59.9538
ebe1434a8d1397230b180f3ad22bdf88-x9-10066.sat.sanitized,SATISFIABLE,500,4496,576064,763733,60515524,11.57,16.5771
6049e056b2b148699dcf0268652c9ffd-multiplier_14bits__miter_19,TIMEOUT,4376,13016,1714803,2212128,272089441,18.13,59.9366
0cc8e1b4c551dc45db6f850a9b77a7ad-unif-k4-r9.729-v2800-c27241-S8869022836034848788,TIMEOUT,2800,27241,743594,1719118,140085145,117.46,59.6926
1ce81dbba1292bf791e194b17aa2a219-satch2ways15u,TIMEOUT,15195,46499,270207,422736,195181407,72.6,59.9285
fc9a8176ef5f37d334e3cd4ab2763d4f-x9-09071.sat.sanitized,SATISFIABLE,450,4056,55460,75744,5434907,11.04,1.2216
a948cbb498dad47fe4bf5a3124ab11a8-Paley13-k9,SATISFIABLE,6591,46475,113,926,28193,14.95,0.038256
ec772545b3b8c0f104f47e277e824bda-16_16_booth_dadda_mapped_and_default_mapped_ultra_bit28,TIMEOUT,3093,9962,1563349,2019601,279351412,20.02,59.9315
255f6d3ed744ebb04449fcb677a22309-okgen-c2250-v500-s2029084305-2029084305,TIMEOUT,500,2250,3566286,4479525,237569972,14.94,59.9622
05ed840c0a907e88e475c931f40fab83-bqwh.50.750.shuffled-as.sat05-434,TIMEOUT,3572,26027,503250,1088399,225381252,71.41,59.908
75d2a340cb1286bca39aa0c7682a8d74-bench_3159.smt2,TIMEOUT,23262,78851,637995,1038727,300437151,79.99,59.9166
c335192c00d7b3e07e421a980705a5eb-bench_1075.smt2,TIMEOUT,25148,85612,623614,1056581,295679223,88.16,59.9152
7e2f949fb3698185458b4dab695f970a-OKgenerator_s0=32s1=43n=700l=5cp=14000-Dnr0=0nr1=1-o.shuffled-as.sat05-1552,TIMEOUT,700,14000,1237965,1947941,81227431,52.93,59.9527
27308296c1433137bfa8ff5191198a22-unif-k3-r4.2-v18000-c75600-S1773173258-010,TIMEOUT,18000,75600,326663,1417858,249828546,256.77,59.6736
6d5acb859cd2755edef91392a416b8e1-iso-icl003.shuffled-as.sat05-3237,UNSATISFIABLE,844,7693,86,110,4822,11.31,0.00714
d259119b134dab2c8efe5e93c322ced1-unif-k3-r4.267-v421-c1796-S4839562527790587617,TIMEOUT,421,1796,4017472,4978555,246651381,12.18,59.8727
16724d62e292ec626a6c8776fa79fede-c3_DD_s3_f1_e1_v1-bug-onevec-gate-0.dimacs.seq.filtered,UNSATISFIABLE,8382,18033,0,0,7358,13.11,0.006274
a4b05fbc5be28207b704e1fae4b7c8a0-FileObject_open_12,TIMEOUT,228,1915,3225223,4157725,79896641,18.67,59.9747
ddd91958c7f99833af9d42cf39317cdf-rbcl_xits_09_UNKNOWN,TIMEOUT,1430,79453,853279,1017172,43601196,101.39,59.8451
87fb1d1ec01b0daaa17ea6bd1b4af229-unif-k6-r42.022-v280-c11766-S5917053135035251705,TIMEOUT,280,11766,1613578,2175835,50450355,40.27,59.9469
791ac4887a6e12e25196d38fb89d0417-unif-k5-r21.117-v360-c7602-S1291781155592389515,TIMEOUT,360,7602,1933475,2645769,79493992,32.28,59.9635
68869a0ce4bee90c6ab046a102dee370-manthey_single-ordered-initialized-w40-b8,TIMEOUT,8320,62242,440403,724055,258171030,48.49,59.9265
92861516659a772222dfb39cf59a3cef-fclqcolor-12-08-08.shuffled-as.sat05-1267,SATISFIABLE,258,5444,3,82,289,11.34,0.006869
f2a9592283e8f09d61e34746342d0313-x9-02022.sat.sanitized,SATISFIABLE,100,899,119,151,3813,10.91,0.001765
728665d2d8833e0a47bc6876434f2315-x9-12075.sat.sanitized,TIMEOUT,600,5408,1524920,2084992,181683677,18.53,59.9785
